,kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori,rad_main,rad_sub
2627,繭,7e6d,1-43-90,,,120;140,8.0,18,2495.0,1.0,jian3;gyeon;견;Kiển;ケン;まゆ;きぬ,cocoon,,120,140
2630,慢,6162,1-43-93,,,61,8.0,14,1368.0,1.0,man4;man;만;Mạn;マン,ridicule;laziness,,61,
2634,味,5473,1-44-03,,,30,3.0,8,442.0,3.0,wei4;mi;미;Vị;ミ;あじ;あじ.わう,flavor;taste,,30,
2638,箕,7b95,1-44-07,,,118,9.0,14,2023.0,,ji1;gi;기;Ky;Cơ;キ;み,winnowing,みの,118,
2641,蜜,871c,1-44-10,,,142;40,8.0,14,2203.0,,mi4;mil;밀;Mật;ミツ;ビツ,honey;nectar;molasses,,142,40
2645,脈,8108,1-44-14,,,130,5.0,10,1477.0,1.0,mo4;mai4;maeg;맥;Mạch;ミャク;すじ,vein;pulse;hope,,130,
2646,妙,5999,1-44-15,,,38,8.0,7,1122.0,1.0,miao4;myo;묘;Diệu;ミョウ;ビョウ;たえ,exquisite;strange;queer;mystery;miracle;excellent;delicate;charming,,38,
2658,婿,5a7f,1-44-27,,,38,8.0,12,2099.0,1.0,xu4;seo;서;Tế;Rể;セイ;むこ,bridegroom;son-in-law,,38,
2659,娘,5a18,1-44-28,,,38,8.0,10,1145.0,2.0,niang2;nang;낭;Nương;ジョウ;むすめ;こ,daughter;girl,,38,
2661,名,540d,1-44-30,,,30;36,1.0,6,177.0,4.0,ming2;myeong;명;Danh;メイ;ミョウ;な;-な,name;noted;distinguished;reputation,と,30,36
2662,命,547d,1-44-31,,,30;9,3.0,8,465.0,2.0,ming4;myeong;명;Mệnh;メイ;ミョウ;いのち,fate;command;decree;destiny;life;appoint,,30,9
2665,迷,8ff7,1-44-34,,,162,5.0,9,942.0,2.0,mi2;mi;미;Mê;メイ;まよ.う,astray;be perplexed;in doubt;lost;err;illusion,,162,
2666,銘,9298,1-44-35,,,167,8.0,14,1394.0,1.0,ming2;myeong;명;Minh;メイ,inscription;signature (of artisan),たか;み;め,167,
2668,姪,59ea,1-44-37,,,38,9.0,9,,,zhi2;jil;jeol;질;절;Điệt;テツ;チツ;ジチ;イツ;イチ;めい;おい,niece,,38,
2673,綿,7dbf,1-44-42,,,120,5.0,14,1495.0,2.0,mian2;myeon;면;Miên;メン;わた,cotton,う,120,
2674,緬,7dec,1-44-43,,,120,,15,,,mian3;myeon;면;Miễn;Diến;メン;ベン,fine thread;Burma,,120,
2680,妄,5984,1-44-49,,,38;8,8.0,6,2264.0,1.0,wang4;mang;망;Vọng;モウ;ボウ;みだ.りに,delusion;unnecessarily;without authority;reckless,,38,8
2685,網,7db2,1-44-54,,,120,8.0,14,1194.0,1.0,wang3;mang;망;Võng;モウ;あみ,netting;network,あ;ずな,120,
2699,問,554f,1-44-68,,,30;169,3.0,11,64.0,3.0,wen4;mun;문;Vấn;モン;と.う;と.い;とん,question;ask;problem,はる,30,169
2700,悶,60b6,1-44-69,,,61;169,,12,,,men4;men1;min;민;Muộn;モン;もだ.える;もだえ.る,be in agony;worry,,61,169
2701,紋,7d0b,1-44-70,,,120,8.0,10,1519.0,1.0,wen2;wen4;mun;문;Văn;モン,family crest;figures,あや,120,
2714,約,7d04,1-44-83,,,120,4.0,9,94.0,2.0,yue1;yao1;yag;yo;약;요;Ước;ヤク;つづ.まる;つづ.める;つづま.やか,promise;approximately;shrink,,120,
2716,訳,8a33,1-44-85,,,149,6.0,11,1050.0,1.0,yi4;yeog;역;Dịch;ヤク;わけ,translate;reason;circumstance;case,,149,
2721,鑓,9453,1-44-90,,,167,,21,,,qiang1;gyeon;견;Sang;やり,spear;javelin;(kokuji),,167,
2722,愉,6109,1-44-91,,,61,8.0,12,1974.0,1.0,yu2;yu;유;Du;Thâu;ユ;たの.しい;たの.しむ,pleasure;happy;rejoice,ゆう,61,
2723,愈,6108,1-44-92,,,61;9,,13,,,yu4;yu;유;Dũ;ユ;いよいよ;まさ.る,be superior;heal;more and more;increasingly;finally;beyond doubt,,61,9
2726,諭,8aed,1-45-01,,,149,8.0,16,1461.0,1.0,yu4;yu;유;Dụ;ユ;さと.す,rebuke;admonish;charge;warn;persuade,ゆう,149,
2728,唯,552f,1-45-03,,,30,8.0,11,1292.0,1.0,wei2;wei3;yu;유;Duy;Dụy;ユイ;イ;ただ,solely;only;merely;simply,ゆ,30,
2735,悠,60a0,1-45-10,,,61,8.0,11,1921.0,1.0,you1;yu;유;Du;ユウ,permanence;distant;long time;leisure,ゆ,61,
2736,憂,6182,1-45-11,,,61;1,8.0,15,1625.0,1.0,you1;u;우;Ưu;ユウ;うれ.える;うれ.い;う.い;う.き,melancholy;grieve;lament;be anxious;sad;unhappy,ゆ,61,1
2747,誘,8a98,1-45-22,,,149,8.0,14,993.0,1.0,you4;yu;유;Dụ;ユウ;さそ.う;いざな.う,entice;lead;tempt;invite;ask;call for;seduce;allure,,149,
2748,遊,904a,1-45-23,,,162,3.0,12,941.0,2.0,you2;yu;유;Du;ユウ;ユ;あそ.ぶ;あそ.ばす,play,あす;う,162,
2752,融,878d,1-45-27,,,142;193,8.0,16,481.0,1.0,rong2;yung;융;Dung;Dong;ユウ;と.ける;と.かす,dissolve;melt,あきら,142,193
2757,誉,8a89,1-45-32,,,149,8.0,13,1064.0,1.0,yu4;ye;예;Dự;ヨ;ほま.れ;ほ.める,reputation;praise;honor;glory,え;たか;たけ;ほまれ;ほめ;ほん,149,
2762,妖,5996,1-45-37,,,38,8.0,7,1964.0,,yao1;yo;요;Yêu;ヨウ;あや.しい;なま.めく;わざわ.い,attractive;bewitching;calamity,,38,
2781,謡,8b21,1-45-56,,,149,8.0,16,1580.0,1.0,yao2;yo;요;Dao;ヨウ;うた.い;うた.う,song;sing;ballad;noh chanting,,149,
2783,遥,9065,1-45-58,,,162,9.0,12,2376.0,1.0,yao2;yo;요;Diêu;Dao;ヨウ;はる.か,far off;distant;long ago,,162,
2786,慾,617e,1-45-61,,,61,,15,,,yu4;yog;욕;Dục;ヨク,covetousness;greed;passion;desire;craving,,61,
2795,螺,87ba,1-45-70,,,142,9.0,17,,,luo2;ra;re;라;레;Loa;ラ;にし;にな,"small, edible, helical fresh-water mollusk",,142,
2802,絡,7d61,1-45-77,,,120,8.0,12,806.0,2.0,luo4;lao4;rag;락;Lạc;ラク;から.む;から.まる,entwine;coil around;get caught in,,120,
2814,吏,540f,1-45-89,,,30;4,8.0,6,,1.0,li4;ri;리;Lại;リ,officer;an official,さと;し,30,4
2843,慮,616e,1-46-24,,,61;141,8.0,15,916.0,1.0,lu:4;ryeo;려;Lự;Lư;リョ;おもんぱく.る;おもんぱか.る,prudence;thought;concern;consider;deliberate;fear,ぜ,61,141
2861,諒,8ad2,1-46-42,,,149,9.0,15,,1.0,liang4;ryang;량;Lượng;リョウ;あきら.か;まことに,fact;reality;understand;appreciate,あき;まさ;まこと,149,
2862,遼,907c,1-46-43,,,162,9.0,15,2050.0,1.0,liao2;ryo;료;Liêu;リョウ,distant,はるか,162,
2867,緑,7dd1,1-46-48,,,120,3.0,14,1180.0,2.0,lu:4;rog;록;Lục;リョク;ロク;みどり,green,,120,
2880,塁,5841,1-46-61,,,32;102,8.0,12,651.0,1.0,lei3;ru;roe;루;뢰;Lỗi;ルイ;ライ;スイ;とりで,bases;fort;rampart;walls;base(ball),る,32,102
2882,累,7d2f,1-46-63,,,120;102,8.0,11,1662.0,1.0,lei4;lei2;lei3;ru;루;Luy;Lũy;Lụy;ルイ,accumulate;involvement;trouble;tie up;continually,,120,102
2890,怜,601c,1-46-71,,,61,9.0,8,2450.0,1.0,lian2;ling2;ryeong;ryeon;령;련;Lân;Liên;Linh;Lanh;Lệnh;レイ;レン;リョウ;あわ.れむ;さと.い,wise,さと;さとし,61,
2894,鈴,9234,1-46-75,,,167,8.0,13,880.0,1.0,ling2;ryeong;령;Linh;レイ;リン;すず,small bell;buzzer,ず,167,
2907,恋,604b,1-46-88,,,61;8,8.0,10,1296.0,2.0,lian4;ryeon;련;Luyến;レン;こ.う;こい;こい.しい,romance;in love;yearn for;miss;darling,,61,8
2908,憐,6190,1-46-89,,,61,9.0,16,,,lian2;ryeon;련;Liên;Lân;レン;あわ.れむ;あわ.れ,pity;have mercy;sympathise;compassion,,61,
2911,簾,7c3e,1-46-92,,,118,9.0,19,,,lian2;ryeom;렴;Liêm;レン;すだれ;す,bamboo screen;rattan blind,みす,118,
2912,練,7df4,1-46-93,,,120,3.0,14,788.0,2.0,lian4;ryeon;련;Luyện;レン;ね.る;ね.り,practice;gloss;train;drill;polish;refine,ねり,120,
2915,連,9023,1-47-02,,,162,4.0,10,30.0,2.0,lian2;ryeon;련;Liên;レン;つら.なる;つら.ねる;つ.れる;-づ.れ,take along;lead;join;connect;party;gang;clique,ずれ;つれ;むらじ;れ,162,
2916,錬,932c,1-47-03,,,167,8.0,16,2221.0,1.0,lian4;ryeon;련;Chương;Luyện;Rèn;レン;ね.る,tempering;refine;drill;train;polish,,167,
2917,呂,5442,1-47-04,,,30,8.0,7,2055.0,1.0,lu:3;ryeo;려;Lữ;Lã;ロ;リョ;せぼね,spine;backbone,とも;なが,30,
2925,婁,5a41,1-47-12,,,38,,11,,,lou2;lu:3;ru;루;Lâu;Lũ;Lu;ル;ロウ;つな.ぐ;ひ.く,frequently;tie,ろ,38,
2935,篭,7bed,1-47-22,,,118,,16,2237.0,,long2;long3;rong;롱;Lồng;Lung;Lùng;Luông;Luồng;Trông;ロウ;ル;かご;こ.める;こも.る;こ.む,seclude oneself;cage;coop;implied,ごめ,118,
2938,蝋,874b,1-47-25,,,142,,14,,,la4;zha4;rab;랍;Chá;Thự;Trác;ロウ;みつろう;ろうそく,wax,あじ,142,
2943,肋,808b,1-47-30,,,130,9.0,6,,,le4;le1;lei4;reug;륵;Lặc;ロク;あばら,rib,,130,
2944,録,9332,1-47-31,,,167,4.0,16,546.0,2.0,lu4;rog;ye;록;예;Lục;ロク;しる.す;と.る,record,,167,
2945,論,8ad6,1-47-32,,,149,6.0,15,227.0,2.0,lun4;lun2;ron;yun;론;윤;Luận;Luân;ロン;あげつら.う,argument;discourse,,149,
2947,和,548c,1-47-34,,,30;115,3.0,8,124.0,2.0,he2;he4;huo2;huo4;huo5;hai1;he5;hwa;화;Hòa;Họa;ワ;オ;カ;やわ.らぐ;やわ.らげる;なご.む;なご.やか;あ.える,harmony;Japanese style;peace;soften;Japan,あい;いず;かず;かつ;かつり;かづ;たけ;ち;とも;な;にぎ;まさ;やす;よし;より;わだこ;わっ,30,115
2948,話,8a71,1-47-35,,,149,2.0,13,134.0,4.0,hua4;hwa;화;Thoại;ワ;はな.す;はなし,tale;talk,,149,
2951,脇,8107,1-47-38,,,130,8.0,10,1806.0,,xie2;hyeob;협;Hiếp;キョウ;わき;わけ,armpit;the other way;another place;flank;supporting role,,130,
2952,惑,60d1,1-47-39,,,61,8.0,12,777.0,1.0,huo4;hog;혹;Hoặc;ワク;まど.う,beguile;delusion;perplexity,,61,
2958,詫,8a6b,1-47-45,,,149,9.0,13,2481.0,,cha4;ta;타;Sá;タ;わび;わび.しい;かこつ;わ.びる;わび.る,apologize,たく,149,
2964,腕,8155,1-47-51,,,130,8.0,12,1163.0,2.0,wan4;wan;완;Oản;ワン;うで,arm;ability;talent,,130,
3205,簒,7c12,1-50-53,,,118,,17,,,cuan4;chan;찬;Soán;サン;セン;うば.う,rob,,118,
3210,叮,53ee,1-50-58,,,30,,5,,,ding1;jeong;정;Đinh;テイ,courtesy,,30,
3349,圦,5726,1-52-09,,,32,,5,,,ib;입;Nhập;いり,sluice;spout;floodgate;penstock;(kokuji),,32,
3350,圷,5737,1-52-10,,,32,,6,,,Hạ;あくつ,low-lying land;(kokuji),,32,
3351,圸,5738,1-52-11,,,32,,6,,,San;まま,steep slope;(kokuji),,32,
3352,坎,574e,1-52-12,,,32,,7,,,kan3;gam;감;Khảm;カン;あな,pitfall,,32,
3353,圻,573b,1-52-13,,,32,,7,,,qi2;gi;eun;기;은;Kỳ;キ;ギン;さか.い,region surrounding the capital,,32,
3354,址,5740,1-52-14,,,32,,7,,,zhi3;ji;지;Chỉ;シ;あと,ruins,,32,
3355,坏,574f,1-52-15,,,32,,7,,,pi1;huai4;pei1;bae;배;Phôi;Bùi;ハイ;つき;おか,bowl,,32,
3356,坩,5769,1-52-16,,,32,,8,,,gan1;gam;감;Kham;カン;つぼ,jar;pot,,32,
3357,埀,57c0,1-52-17,,,32,,10,,,chui2;su;수;Thùy;スイ;た.れる;た.らす;なんなんと.す,let down;suspend;hand;down,,32,
3358,垈,5788,1-52-18,,,32,,8,,,dae;대;Đại;タイ;ダイ;ぬた,swamp;wetlands;muddy fields;(kokuji),,32,
3359,坡,5761,1-52-19,,,32,,8,,,po1;pa;파;Pha;ハ;ヒ;つつ.み,dike;dam;slope;bank,,32,
3360,坿,577f,1-52-20,,,32,,8,,,fu4;bu;부;Phụ;フ,slope;hill,,32,
3361,垉,5789,1-52-21,,,32,,8,,,pao2;Bàu;Bầu;ホウ,collapse;break,,32,
3362,垓,5793,1-52-22,,,32,,9,,,gai1;hae;해;Cai;Giai;ガイ;カイ;はて,border;boundary;staircase;hundred quintillion,,32,
3363,垠,57a0,1-52-23,,,32,,9,,,yin2;eun;은;Ngân;ギン;ゴン;きし;さか.い,limit;boundary,,32,
3364,垳,57b3,1-52-24,,,32,,9,,,Hàng;がけ;いげ;いけ,cliff;used in proper names;(kokuji),,32,
3365,垤,57a4,1-52-25,,,32,,9,,,die2;jil;질;Điệt;テツ;ありづか,anthill;hill,,32,
3366,垪,57aa,1-52-26,,,32,,9,,,Tịnh;ハ,used in proper names,,32,
3367,垰,57b0,1-52-27,,,32,,9,,,Đèo;たわ;とうげ;たお;あくつ,mountain pass;ancient kuni;low ground;(kokuji),,32,
3368,埃,57c3,1-52-28,,,32,,10,,,ai1;ae;애;Ai;アイ;ほこり;ちり,dust,,32,
3369,埆,57c6,1-52-29,,,32,,10,,,que4;gag;각;Sác;Sánh;Xác;カク;きそ.う,barren land,,32,
3370,埔,57d4,1-52-30,,,32,,10,,,bu4;bu3;pu3;bu;부;Bộ;ホ,used in Chinese place names,,32,
3371,埒,57d2,1-52-31,,,32,,10,,,le4;lie4;ral;랄;Liệt;レツ;ラツ;ラチ;らち.があく;かこ.い,picket;limits;be settled,,32,
3372,埓,57d3,1-52-32,,,32,,10,,,lie4;ral;랄;Liệt;レツ;ラツ;ラチ;らち.があく;かこ.い,pale;picket fence;limits;come to an end,,32,
3373,堊,580a,1-52-33,,,32;1,,11,,,e4;wu4;ag;악;Ác;アク;ア;オ;いろつち;しろつち,whitewash,,32,1
3374,埖,57d6,1-52-34,,,32,,10,,,Hoa;ごみ,garbage;refuse;(kokuji),,32,
3375,埣,57e3,1-52-35,,,32,,11,,,sui4;Dót;Giót;ソツ,barren land,,32,
3376,堋,580b,1-52-36,,,32,,11,,,peng2;peng4;bung;붕;Bằng;ホウ,bury;archery target mound,,32,
3377,堙,5819,1-52-37,,,32,,12,,,yin1;in;인;Nhân;イン;ふさ.ぐ,close up;stop up,,32,
3378,堝,581d,1-52-38,,,32,,12,,,guo1;gwa;과;Qua;カ;るつぼ,crucible;melting pot,,32,
3379,塲,5872,1-52-39,,,32,,14,,,chang2;chang3;jang;장;Tràng;ジョウ;チョウ;ば,open space;field;market,,32,
3380,堡,5821,1-52-40,,,32,,12,,,bao3;bu3;pu4;bo;보;Bảo;ホ;ホウ;とりで,fort,,32,
3381,塢,5862,1-52-41,,,32,,13,,,wu4;o;오;Ô;Ổ;Ọ;Ủ;Ụ;オ;ウ,fortress embankment;village,,32,
3382,塋,584b,1-52-42,,,32,,13,,,ying2;yeong;영;Doanh;エイ;はか,cemetery,,32,
3435,奸,5978,1-53-01,,,38,,6,,,jian1;gan;간;Gian;カン;おか.す,wickedness;mischief;rudeness,,38,
3436,妁,5981,1-53-02,,,38,,6,,,shuo4;jag;작;Chước;シャク;なこうど,go-between,,38,
3437,妝,599d,1-53-03,,,38,,7,,,zhuang1;jang;장;Trang;ソウ;ショウ;よそお.う,dress up,,38,
3439,侫,4fab,1-53-05,,,38;9,,8,,,ning4;nyeong;녕;Nịnh;Nạnh;ネイ;おもね.る;よこしま,flattery;insincerity,,38,9
3440,妣,59a3,1-53-06,,,38,,7,,,bi3;bi;비;Tỉ;ヒ;なきはは,mother,,38,
3441,妲,59b2,1-53-07,,,38,,8,,,da2;dal;달;Đát;ダツ,female proper name,,38,
3442,姆,59c6,1-53-08,,,38,,8,,,mu3;mo;모;Mỗ;ボ;モ;うば,wet nurse,,38,
3443,姨,59e8,1-53-09,,,38,,9,,,yi2;i;이;Di;テイ;イ;いもと;いもうと;おば,younger sister,,38,
3444,姜,59dc,1-53-10,,,38;123,,9,1915.0,,jiang1;gang;강;Khương;キョウ;ガ;こう,Chinese surname;ginger,かん,38,123
3445,妍,598d,1-53-11,,,38,,7,,,yan2;yeon;연;Nghiên;ケン;うつく.しい,beauty;splendor,,38,
3446,姙,59d9,1-53-12,,,38,,9,,,ren4;im;임;Nhâm;ニン;ジン;はら.む;みごも.る,be(come) pregnant,,38,
3447,姚,59da,1-53-13,,,38,,9,2433.0,,yao2;yo;요;Diêu;ヨウ;チョウ;うつく.しい,beautiful,,38,
3448,娥,5a25,1-53-14,,,38,,10,,,e2;a;아;Nga;ガ;みめよ.い,beautiful,,38,
3449,娟,5a1f,1-53-15,,,38,,10,,,juan1;yeon;연;Quyên;エン;ケン,beauty of face,,38,
3450,娑,5a11,1-53-16,,,38,,10,,,suo1;sa;사;Sa;シャ;サ,old woman,,38,
3451,娜,5a1c,1-53-17,,,38,,10,,,nuo2;na4;na;나;Na;ダ;ナ,graceful,,38,
3452,娉,5a09,1-53-18,,,38,,10,,,ping1;bing;빙;Phinh;ヘイ;ホウ;ほ,ask after a woman's name;marry a woman;good-looking,,38,
3453,娚,5a1a,1-53-19,,,38,,10,,,nan2;nam;남;Nam;ナン;ノウ;ドウ;めおと;たわむ.れる,loud talking,,38,
3454,婀,5a40,1-53-20,,,38,,11,,,e1;a;아;A;ア;あだ;あだ.っぽい;たおやか,charm;flirtation,,38,
3455,婬,5a6c,1-53-21,,,38,,11,,,yin2;eum;음;Dâm;イン;みだれ-;ひた.す;ほしいまま;みだ.ら;みだ.れる,lewdness;licentiousness,,38,
3456,婉,5a49,1-53-22,,,38,,11,,,wan3;wan;완;Uyển;エン;うつく.しい;したが.う,graceful,,38,
3457,娵,5a35,1-53-23,,,38,,11,,,ju1;chu;추;Cư;Trâu;シュ;シュウ;ス;ソウ;よめ,marry;bride,,38,
3458,娶,5a36,1-53-24,,,38,,11,,,qu3;qu4;chwi;취;Thú;シュ;めと.る;めあわ.せる,marry;arrange a marriage,,38,
3459,婢,5a62,1-53-25,,,38,,11,,,bi4;bi;비;Tì;ヒ;はしため,maidservant,,38,
3460,婪,5a6a,1-53-26,,,38,,11,,,lan2;ram;람;Lam;ラン;むさぼ.る,covet,,38,
3461,媚,5a9a,1-53-27,,,38,,12,,,mei4;mi;미;Mị;ビ;こ.びる,flatter;humor;flirt,こび,38,
3462,媼,5abc,1-53-28,,,38,,13,,,ao3;on;온;Ảo;オウ;おうな,mother;grandma;old woman,,38,
3463,媾,5abe,1-53-29,,,38,,13,,,gou4;gu;구;Cấu;コウ;よしみ,association;intimacy,,38,
3464,嫋,5acb,1-53-30,,,38,,13,,,niao3;nyo;yag;뇨;약;Niệu;ジョウ;ジャク;デキ;なよ.やかな;しなや.か;たお.やか,supple;pliant;delicate;slender,,38,
3465,嫂,5ac2,1-53-31,,,38,,13,,,sao3;su;수;Tẩu;ソウ;あによめ,elder brother's wife,,38,
3466,媽,5abd,1-53-32,,,38,,13,,,ma1;ma;마;Mụ;Ma;ボ;モ;はは,mother;mare,,38,
3467,嫣,5ae3,1-53-33,,,38,,14,,,yan1;eon;hyeon;언;현;Yên;エン,beauty,,38,
3468,嫗,5ad7,1-53-34,,,38,,14,,,yu4;gu;u;구;우;Ẩu;Ủ;ウ;オウ;あたた.める;おうな,old woman;mother,,38,
3469,嫦,5ae6,1-53-35,,,38,,14,,,chang2;hang;항;Thường;コウ;ジョウ,proper name,,38,
3470,嫩,5ae9,1-53-36,,,38,,14,,,nen4;nun;눈;Nộn;ドン;ノン;わか.い,young;weak,,38,
3471,嫖,5ad6,1-53-37,,,38,,14,,,piao2;pyo;표;Phiêu;ヒョウ;かる.い,wanton;hedonistic,,38,
3472,嫺,5afa,1-53-38,,,38,,15,,,xian2;han;한;Nhàn;カン;なら.う;みやびやか,refined;elegant;skilled,,38,
3473,嫻,5afb,1-53-39,,,38,,15,,,xian2;han;한;Nhàn;カン;なら.う;みやびやか,elegant;refined;skillful,,38,
3474,嬌,5b0c,1-53-40,,,38,,15,,,jiao1;gyo;교;Kiều;キョウ;なまめか.しい,attractive,,38,
3475,嬋,5b0b,1-53-41,,,38,,15,,,chan2;seon;선;Thiền;セン,beautiful,,38,
3476,嬖,5b16,1-53-42,,,38,,16,,,bi4;pye;폐;Bế;ヘイ;きにいり,agreeable person,,38,
3477,嬲,5b32,1-53-43,,,38;102,,17,,,niao3;nyo;뇨;Điểu;Niếu;Niễu;Niểu;ドウ;ジョウ;なぶ.る,sport with;ridicule;tease,,38,102
3478,嫐,5ad0,1-53-44,,,38,,13,,,niao3;nyo;뇨;Nữ;ドウ;ジョウ;なぶ.る,frolic;play with;flirt with,,38,
3479,嬪,5b2a,1-53-45,,,38,,17,,,pin2;bin;빈;Bi;Tần;ヒン;ひめ,bride;marriage,,38,
3480,嬶,5b36,1-53-46,,,38,,17,,,bi;비;Tỵ;かか;かかあ,wife (vulg);(kokuji),,38,
3481,嬾,5b3e,1-53-47,,,38,,19,,,lan3;ran;란;Lại;Lãn;ラン;おこた.る;ものうい,lazy;languid,,38,
3482,孃,5b43,1-53-48,,,38,10.0,20,,,niang2;yang;양;Nương;Tường;ジョウ;むすめ,girl;Miss;daughter,,38,
3483,孅,5b45,1-53-49,,,38,,20,,,xian1;seom;섬;Thiêm;Tiêm;セン;かよわ.い,delicate,,38,
3484,孀,5b40,1-53-50,,,38,,20,,,shuang1;sang;상;Sương;ソウ;やもめ,widow,,38,
3676,忖,5fd6,1-55-54,,,61,,6,,,cun3;chon;촌;Thốn;ソン;はか.る,conjecture,,61,
3677,忻,5ffb,1-55-55,,,61,,7,,,xin1;heun;흔;Hãn;キン;よろこ.ぶ,rejoice;open one's heart,,61,
3678,忤,5fe4,1-55-56,,,61,,7,,,wu3;o;오;Ngỗ;ゴ;さから.う;もと.る,insubordinate;stubborn;wrong,,61,
3679,忸,5ff8,1-55-57,,,61,,7,,,niu3;nu:4;nyu;뉴;Nữu;ジク;ジュウ;はじ.る,shame,,61,
3680,忱,5ff1,1-55-58,,,61,,7,,,chen2;chim;침;Thầm;シン;まこと,sincere,,61,
3681,忝,5fdd,1-55-59,,,61;4,,8,,,tian3;cheom;첨;Thiểm;テン;かたじけな.い,grateful;indebted,,61,4
3682,悳,60b3,1-55-60,,,61,,12,,,de2;deog;덕;Đức;Khẩn;トク,ethics;morality;virtue,いさお,61,
3683,忿,5fff,1-55-61,,,61;12,,8,,,fen4;bun;분;Phẫn;フン;いか.る;いかり,be angry,,61,12
3684,怡,6021,1-55-62,,,61,,8,,,yi2;i;이;Di;イ;よろこ.ぶ,rejoice;enjoy,,61,
3685,恠,6060,1-55-63,,,61,,9,,,guai4;goe;괴;Quái;カイ;ケ;あや.しい;あや.しむ,suspicious;mystery;apparition,,61,
3950,變,8b8a,1-58-46,,,149;66,,23,,,bian4;byeon;변;Biến;Biện;ヘン;か.わる;か.える,change;strange,,149,66
4818,邃,9083,1-67-68,,,162,,18,,,sui4;su;수;Thúy;スイ;おくぶか.い,deep;profound,,162,
4833,笂,7b02,1-67-83,,,118,,9,,,chae;cha;채;차;うつぼ,quiver;arrow holder;(kokuji),,118,
4834,笏,7b0f,1-67-84,,,118,,10,2306.0,,hu4;heul;흘;Hốt;コツ;しゃく,mace;baton;scepter,,118,
4835,笊,7b0a,1-67-85,,,118,,10,,,zhao4;jo;조;Tráo;ソウ;ざる;す,bamboo basket,,118,
4836,笆,7b06,1-67-86,,,118,,10,,,ba1;pa;파;Ba;ハ,thorny bamboo;bamboo fence,,118,
4837,笳,7b33,1-67-87,,,118,,11,,,jia1;ga;가;Già;カ;あしぶえ,reed flute,,118,
4838,笘,7b18,1-67-88,,,118,,11,2268.0,,shan1;jeom;점;Thiêm;Chòm;Chùm;Đệm;Nhóm;Rơm;Xờm;Xúm;セン;チョウ,whip;cane;wooden writing slate,,118,
4839,笙,7b19,1-67-89,,,118,9.0,11,,1.0,sheng1;saeng;생;Sanh;ショウ;ソウ;ふえ,a reed instrument,,118,
4840,笞,7b1e,1-67-90,,,118,,11,,,chi1;tae;태;Si;チ;むち;しもと,whip;rod;scourge;crime punishable by flogging,,118,
4841,笵,7b35,1-67-91,,,118,,11,,,fan4;beom;범;Phạm;ハン;ボン;のり,bamboo frame;law,,118,
4842,笨,7b28,1-67-92,,,118,,11,,,ben4;bun;분;Bổn;ホン;あら.い,coarse,がさ,118,
4843,笶,7b36,1-67-93,,,118,,11,,,shi3;si;시;シ,arrow,,118,
4844,筐,7b50,1-67-94,,,118,,12,,,kuang1;gwang;광;Khuông;キョウ;かたみ;かご;はこ,bamboo basket,,118,
4845,筺,7b7a,1-68-01,,,118,,13,,,kuang1;gwang;광;キョウ;かたみ;かご;はこ,bamboo basket,こばこ,118,
4846,笄,7b04,1-68-02,,,118,,10,,,ji1;gye;계;Kê;ケイ;こうがい,hairpin;crossbar of anchor;metal rod on sheath,,118,
4847,筍,7b4d,1-68-03,,,118,,12,,,sun3;sun;순;Duẩn;Tấn;ジュン;シュン;イン;たけのこ;たかんな,bamboo shoot,,118,
4848,笋,7b0b,1-68-04,,,118,,10,,,sun3;sun;순;Duẩn;ジュン;シュン;イン;たけのこ;たかんな,bamboo shoot,,118,
4849,筌,7b4c,1-68-05,,,118,,12,,,quan2;jeon;전;Thuyên;セン;うけ;うえ,fish trap;weir,,118,
4850,筅,7b45,1-68-06,,,118,,12,,,xian3;seon;선;Tiển;セン;ささら,bamboo whisk for tea-making,,118,
4851,筵,7b75,1-68-07,,,118,,13,,,yan2;yeon;연;Diên;エン;むしろ,straw mat,,118,
4852,筥,7b65,1-68-08,,,118,,13,,,ju3;geo;거;Cử;キョ,round basket,はこ,118,
4853,筴,7b74,1-68-09,,,118,,13,,,jia2;ce4;hyeob;chaeg;협;책;Sách;Giáp;Hiệp;キョウ;サク;めどぎ,insert between;chopsticks;divining sticks;plan,,118,
4854,筧,7b67,1-68-10,,,118,,13,,,jian3;gyeon;견;Kiển;ケン;かけひ,waterpipe;flume,かけい,118,
4855,筰,7b70,1-68-11,,,118,,13,,,zuo2;jag;작;Tạc;サク;しゃく,bamboo rope,,118,
4856,筱,7b71,1-68-12,,,118,,13,,,xiao3;so;소;Tiểu;ゾウ;ショウ;しの,dwarf bamboo;diminutive in person's name,,118,
4857,筬,7b6c,1-68-13,,,118,,13,,,cheng2;seong;성;セイ;おさ,reed;guide for yarn on a loom,,118,
4858,筮,7b6e,1-68-14,,,118,,13,,,shi4;seo;서;Thệ;Phệ;ゼイ;セイ;うらな.う;めどぎ,(water) divining equipment,,118,
4859,箝,7b9d,1-68-15,,,118,,14,,,qian2;gyeom;겸;Kiềm;カン;ケン;す.げる;くびかせ;はさ.む,insert;fit into;attach (a clog thong),,118,
4860,箘,7b98,1-68-16,,,118,,14,,,jun4;gyun;균;Khuân;Lưỡng;キン,a type of bamboo;bamboo shoots;dice,,118,
